VWAP bfly,VWAP bfnx,VWAP bnu,VWAP btrx,VWAP bse,VWAP gmni,VWAP itbi,VWAP krkn,VWAP lmax,VWAP okcn,VWAP tmp,VWAP global
48007,47779,47847,47861,47945,47982,47772,47698,47881,47955,47944,47883
49608,49442,49196,49343,49317,49458,49510,49179,49251,49423,49220,49313
50197,50237,50200,50264,50249,50268,50260,50215,50228,50219,50284,50244
50948,50608,50523,50529,50498,50494,50534,50537,50458,50435,50473,50514
50893,50890,50901,50914,50943,50935,51020,50917,50852,51023,50988,50928
50893,50344,50384,50537,50514,50529,50416,50421,50474,50399,50440,50456
49979,49714,50046,50034,49982,49935,49908,49916,50062,49940,49940,49913
49680,49899,49862,50033,49960,50035,49945,49994,49996,50030,49974,49963
50144,50630,50560,50587,50541,50477,50600,50545,50553,50483,50594,50579
50884,50887,50842,50948,50901,50902,51014,50988,50934,51006,50903,50912
50537,50480,50516,50665,50524,50494,50588,50644,50515,50565,50590,50535
50474,50494,50475,50556,50498,50447,50501,50524,50506,50557,50480,50499
51229,50977,50871,50908,50936,50933,50956,50864,50919,50922,50948,50934
49682,49701,49783,49840,49811,49750,49790,49743,49827,49953,49894,49800
49266,49233,49252,49312,49293,49282,49260,49223,49274,49346,49236,49264
48785,49011,49258,49281,49225,49250,49063,49218,49325,49288,49222,49204
49645,49735,49766,49806,49749,49720,49749,49750,49756,49825,49758,49750
49714,49788,49809,49786,49814,49844,49816,49842,49845,49818,49847,49823
49602,49796,49795,49798,49791,49797,49792,49813,49797,49798,49838,49799
49192,49215,49355,49258,49260,49205,49411,49230,49317,49343,49337,49269
48991,48896,48906,48907,48923,48953,48880,48965,48953,48851,48928,48929
48405,48441,48486,48486,48477,48527,48526,48499,48518,48452,48510,48487
48271,48531,48550,48566,48579,48651,48497,48540,48646,48543,48581,48575
49611,49386,49400,49488,49429,49458,49493,49460,49423,49569,49505,49438
